,group,category,french_name,name,rating_quality,footprint
47,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Manioc, racine crue","Cassava or manioc, roots, raw",2.6,0.53380541
48,"fruits, vegetables, pulses and oilseeds",vegetables,"Chou-fleur, cru","Cauliflower, raw",2.09,0.73551222
49,"fruits, vegetables, pulses and oilseeds",vegetables,"Céleri-rave, purée","Celeriac, puree",2.98,0.631843
50,"fruits, vegetables, pulses and oilseeds",vegetables,"Céleri-rave, cru","Celeriac, raw",2.55,0.45782909
51,culinary aids and various ingredients,salt,Sel au Céleri,Celery salt,2.44,0.6040639
52,"fruits, vegetables, pulses and oilseeds",vegetables,"Céleri branche, cru","Celery stalk, raw",2.32,0.67701809
53,"fruits, vegetables, pulses and oilseeds",pulses,"Pois chiche, cuit","Chick pea, cooked",3.66,0.43492692
54,drinks,soft drinks,"Chicorée, poudre soluble, réhydratée","Chicory, powder, instant, ready-to-drink",2.74,0.11762172
55,"fruits, vegetables, pulses and oilseeds",vegetables,"Crosne, surgelé, cru","Chinese or Japanese artichokes, frozen, raw",3.1,0.66202276
56,culinary aids and various ingredients,herbs,"Ciboule ou Ciboulette, fraîche","Chive or spring onion, fresh",3.75,0.676515
57,drinks,soft drinks,Lait de coco ou crème de coco,Coconut milk or coconut cream,3.33,0.5064675
58,drinks,soft drinks,"Café au lait, Café crème ou cappuccino, instantané ou non, non sucré, prêt à boire","Coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink",3.06,0.49800561
59,drinks,soft drinks,"Cola, sucré, avec édulcorants","Cola, with sugar and artificial sweetener(s)",2.6,0.51122506
60,drinks,soft drinks,"Cola, sucré, sans Caféine","Cola, with sugar and without caffeine",2.6,0.51122506
61,drinks,soft drinks,"Cola, sucré","Cola, with sugar",2.6,0.51122506
62,drinks,soft drinks,"Cola, non sucré, avec édulcorants","Cola, without sugar and with artificial sweetener(s)",2.6,0.51122506
63,drinks,soft drinks,"Cola, non sucré, avec édulcorants, sans Caféine","Cola, without sugar, with artificial sweetener(s) and with caffeine",2.6,0.51122506
64,cereal products,bread and viennoiseries,"Pain, baguette ou boule, de campagne","Country-style bread, French bread (baguette or ball)",1.95,0.68858077
65,cereal products,bread and viennoiseries,Pain de campagne maison (avec farine pour machine à pain),"Country-style bread, home-made (with flour for bread making machine)",1.95,0.68858077
66,"fruits, vegetables, pulses and oilseeds",vegetables,"Courgette, pulpe et peau, crue","Courgette or zucchini, pulp and peel, raw",2.43,0.48351979
67,cereal products,"pasta, rice and cereals","Couscous (semoule de blé dur roulée précuite à la vapeur), cuite, non salée","Couscous (durum wheat semolina pre-cooked with steam), cooked, unsalted",3.19,0.7109528
68,"fruits, vegetables, pulses and oilseeds",vegetables,"Concombre, pulpe et peau, cru","Cucumber, pulp and peel, raw",2.53,0.4732012
69,"fruits, vegetables, pulses and oilseeds",vegetables,"Concombre, pulpe, cru","Cucumber, pulp, raw",2.53,0.4732012
70,"fruits, vegetables, pulses and oilseeds",vegetables,"Salade ou Chicorée frisée, crue","Curly endive, raw",2.74,0.62544862
71,"fruits, vegetables, pulses and oilseeds",vegetables,"Chou frisé, cru","Curly kale, raw",2.6,0.72817912
72,culinary aids and various ingredients,sauces,"Sauce au curry, préemballée","Curry sauce, prepacked",2.84,0.79730838
73,drinks,soft drinks,"Café décaféiné, non instantané, non sucré, prêt à boire","Decaffeinated not instant coffee, without sugar, ready-to-drink",3.01,0.63979393
74,cereal products,"pasta, rice and cereals","pâtes sèches, sans gluten, cuites, non salées","Dried pasta, gluten-free, cooked, unsalted",2.88,0.78633499
75,starters and mixed dishes,mixed dishes,"blé dur précuit, grains entiers, cuisiné, à poêler","Durum wheat pre-cooked, whole grain, cooked, to pan-fry",3.38,0.48414856
76,cereal products,"pasta, rice and cereals","blé dur précuit, grains entiers, cuit, non salé","Durum wheat pre-cooked, whole grain, cooked, unsalted",3.31,0.61000667
77,starters and mixed dishes,mixed dishes,"blé dur précuit cuisiné, en sachet micro-ondable","Durum wheat, pre-cooked, cooked, in a microwaveable bag",3.38,0.48323807
78,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Pomme de terre primeur, sans peau, bouillie/cuite à l'eau","Early potato, boiled/cooked in water, peeled",2.7,0.64971087
79,"fruits, vegetables, pulses and oilseeds",vegetables,"Aubergine, crue","Eggplant, raw",2.53,0.45710934
80,drinks,soft drinks,"Boisson énergisante, sucrée","Energy drink, with sugar",3.2,0.4710064
81,drinks,soft drinks,"Boisson énergisante, non sucrée, avec édulcorants","Energy drink, without sugar and with artificial sweetener(s)",2.92,0.4710064
82,drinks,soft drinks,"Café expresso, non instantané, non sucré, prêt à boire","Espresso coffee, not instant coffee, without sugar, ready-to-drink",3.01,0.59422465
83,"fruits, vegetables, pulses and oilseeds",fruits,"Figue, crue","Fig, raw",2.9,0.61354989
84,"fruits, vegetables, pulses and oilseeds",pulses,"Haricot flageolet, cuit","Flageolet bean, cooked",3.08,0.41844255
85,"fruits, vegetables, pulses and oilseeds",pulses,"Haricot flageolet, surgelé","flageolet bean, frozen",3.23,0.50378806
86,"fruits, vegetables, pulses and oilseeds",pulses,"Haricot flageolet, vert, cuit","Flageolet bean, green, cooked",3.23,0.41844255
87,"fruits, vegetables, pulses and oilseeds",vegetables,"Haricot plat, cru","Flat bean, raw",2.32,0.5056327
88,"fruits, vegetables, pulses and oilseeds",vegetables,"Haricot vert, surgelé, cru","French bean, frozen, raw",2.59,0.66805842
89,"fruits, vegetables, pulses and oilseeds",vegetables,"Haricots verts, purée","French bean, puree",2.72,0.75764983
90,"fruits, vegetables, pulses and oilseeds",vegetables,"Haricot vert, cru","French bean, raw",2.52,0.41306197
91,cereal products,"pasta, rice and cereals","Frik (blé dur immature concassé), cuit, non salé","Frik (crushed immature durum wheat), cooked, unsalted",2.88,0.7109528
92,"fruits, vegetables, pulses and oilseeds",fruits,"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté","Fruit cocktail or salad, canned in light syrup, not drained",2.1,0.62644903
93,"fruits, vegetables, pulses and oilseeds",fruits,"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté","Fruit cocktail or salad, canned in syrup, not drained",2.1,0.62644903
94,drinks,soft drinks,"Jus multifruit - base pomme, standard","Fruit juice, mixed - apple base, standard",2.03881032638563,0.71837052
95,drinks,soft drinks,"Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée","Fruit soft drink, carbonated (10-50% of fruit juice), with sugar",3.54,0.43706088
96,drinks,soft drinks,"Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée, avec édulcorants","Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar and artificial sweetener(s)",3.54,0.43706088
97,drinks,soft drinks,"Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée","Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar",3.54,0.43706088
98,drinks,soft drinks,"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant","Fruit soft drink, carbonated (less than 10% of fruit juice), without sugar and artificial sweetener(s)",2.97,0.38633289
99,drinks,soft drinks,"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants","Fruit soft drink, carbonated (less than 10% of fruit juice), without sugar and with artificial sweetener(s)",2.97,0.38633289
100,drinks,soft drinks,"Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres","Fruit soft drink, still (10-50% of fruit juice), reduced sugar",3.56,0.560211
101,drinks,soft drinks,"Boisson plate aux fruits (10 à 50% de jus), sucrée","Fruit soft drink, still (10-50% of fruit juice), with sugar",3.56,0.560211
102,drinks,soft drinks,"Boisson plate aux fruits (teneur en jus non spécifiée), sucrée","Fruit soft drink, still (fruit juice content unspecified), with sugar",3.56,0.560211
103,drinks,soft drinks,"Boisson plate aux fruits (à moins de 10% de jus), sucrée","Fruit soft drink, still (less than 10% of fruit juice), with sugar",3.31,0.560211
104,drinks,soft drinks,"Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants","Fruit soft drink, still (less than 10% of fruit juice), without sugar and with artificial sweetener(s)",2.97,0.38633289
105,baby food,milk and baby drinks,Boisson aux fruits pour bébé dès 4/6mois,Fruit-based beverage for baby from 4/6 months,3.04,0.79443821
106,"fruits, vegetables, pulses and oilseeds",fruits,"Compote, tout type de fruits","Fruits compote, miscellaneous",1.98,0.78894356
107,"fruits, vegetables, pulses and oilseeds",fruits,"Compote, tout type de fruits, allégée en sucres","Fruits compote, miscellaneous, reduced sugar",1.98,0.79216639
108,"fruits, vegetables, pulses and oilseeds",vegetables,"Petits pois, crus","Garden peas, raw",2.43,0.66512918
109,culinary aids and various ingredients,herbs,"Ail, cru","Garlic, fresh",3.54,0.3580429
110,culinary aids and various ingredients,herbs,"Ail séché, poudre","Garlic, powder, dried",4.11,0.75027428
111,culinary aids and various ingredients,spices,"Gingembre, racine crue","Ginger, raw",3.73,0.45260902
112,drinks,soft drinks,"Jus de raisin, pur jus","Grape juice, pure juice",2.04090420174175,0.44572993
113,"fruits, vegetables, pulses and oilseeds",fruits,"Raisin, cru","Grape, raw",2.46,0.45672809
114,"fruits, vegetables, pulses and oilseeds",fruits,"Raisin noir, cru","Grape, red, raw",2.46,0.45672809
115,"fruits, vegetables, pulses and oilseeds",fruits,"Raisin blanc, à gros grain (type Italia ou Dattier), cru","Grape, white, raw",2.46,0.45672809
116,"fruits, vegetables, pulses and oilseeds",vegetables,"Chicorée verte, crue","Green endive, raw",2.6,0.62544862
117,"fruits, vegetables, pulses and oilseeds",pulses,"Lentille verte, cuite","Green lentil, cooked",3.37,0.40070383
118,drinks,soft drinks,"Thé vert, infusé, non sucré","Green tea, brewed, without sugar",3.06,0.039161353
119,"fruits, vegetables, pulses and oilseeds",pulses,"Haricot blanc, appertisé, égoutté","Haricot bean, canned, drained",3.28,0.76531296
120,"fruits, vegetables, pulses and oilseeds",pulses,"Haricot blanc, cuit","Haricot bean, cooked",3.29,0.25112226
121,"fruits, vegetables, pulses and oilseeds",pulses,"Haricot blanc, sec","Haricot bean, dry",3.43,0.55573526
122,starters and mixed dishes,mixed dishes,"Haricots blancs à la sauce tomate, appertisés","Haricot beans with tomato sauce, canned",3.63,0.58560135
123,culinary aids and various ingredients,herbs,"Raifort, cru","Horseradish, fresh",3.75,0.67493098
124,drinks,soft drinks,"Tisane infusée, non sucrée","Infusion, brewed, without sugar",3.13,0.039161353
125,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Topinambour, cru","Jerusalem artichoke, raw",2.57,0.50487197
126,cereal products,"pasta, rice and cereals","blé de Khorasan, cru",Khorasan wheat,3,0.53142619
127,"fruits, vegetables, pulses and oilseeds",fruits,"Kumquat, sans pépin, cru","Kumquat, without pips, raw",3.12,0.53645068
128,"fruits, vegetables, pulses and oilseeds",vegetables,"Poireau, cru","Leek, raw",2.26,0.76886569
129,drinks,soft drinks,"Jus de citron, pur jus","Lemon juice, pure juice",1.95027661142363,0.78694354
130,"fruits, vegetables, pulses and oilseeds",fruits,"Citron, pulpe, cru","Lemon, pulp, raw",2.46,0.71126308
131,drinks,soft drinks,Diabolo (limonade et sirop),Lemonade with a flavoured syrup,2.31,0.55941394
132,drinks,soft drinks,"Limonade, sucrée, avec édulcorants","Lemonade, with sugar and artificial sweetener(s)",2.6,0.51122506
133,drinks,soft drinks,"Limonade, sucrée","Lemonade, with sugar",2.31,0.51122506
134,drinks,soft drinks,"Limonade, non sucrée, avec édulcorants","Lemonade, without sugar, with artificial sweetener(s)",2.6,0.51122506
135,"fruits, vegetables, pulses and oilseeds",pulses,"Lentille blonde, cuite","Lentil, blond, cooked",3.37,0.40070383
136,"fruits, vegetables, pulses and oilseeds",pulses,"Lentille, cuite","Lentil, cooked",3.22,0.40070383
137,"fruits, vegetables, pulses and oilseeds",pulses,"Lentille corail, cuite","Lentil, pink or red, cooked",3.37,0.40070383
138,culinary aids and various ingredients,various ingredients,Sirop léger pour fruits appertisés au sirop,Light syrup for canned fruits in syrup,3.38,0.72893229
139,"fruits, vegetables, pulses and oilseeds",vegetables,"Haricot de Lima, cru","Lima bean, raw",2.43,0.76878086
140,"fruits, vegetables, pulses and oilseeds",fruits,"Citron vert ou Lime, pulpe, cru","Lime, pulp, raw",3.01,0.53149497
141,"fruits, vegetables, pulses and oilseeds",fruits,"Litchi, pulpe, cru","Lychee, pulp, raw",3.12,0.5330489
142,culinary aids and various ingredients,various ingredients,Son de maïs,Maize/corn bran,3.09,0.47998178
143,cereal products,flour and pie dough,Farine de maïs,Maize/corn flour,3.01,0.74353983
144,"fruits, vegetables, pulses and oilseeds",fruits,"Mandarine, pulpe, crue","Mandarin, pulp, raw",2.46,0.4227383
145,drinks,soft drinks,"Jus de mangue, frais","Mango juice, fresh",2.11186373104387,0.47623917
146,drinks,soft drinks,Nectar de mangue,Mango nectar,2.11186373104387,0.59418935
147,"fruits, vegetables, pulses and oilseeds",fruits,"Mangue importée par bateau, pulpe, crue","Mango, pulp, raw",2.79,0.68999518
148,cereal products,"pasta, rice and cereals","Mil, cuit, non salé","Millet, cooked, unsalted",3,0.3611855
149,drinks,water,"Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07)","Mineral sparkling water (Arcens), bottled, averagely mineralized",3.01,0.26707462
150,drinks,water,"Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)","Mineral sparkling water (Ardesy), bottled, strongly mineralized",3.01,0.26707462
151,drinks,water,"Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)","Mineral sparkling water (Aziac), bottled, lightly mineralized",3.01,0.26707462
152,drinks,water,"Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42)","Mineral sparkling water (Badoit), bottled, averagely mineralized",3.01,0.26707462
153,drinks,water,"Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)","Mineral sparkling water (Chateauneuf), bottled, strongly mineralized",3.01,0.26707462
154,drinks,water,"Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)","Mineral sparkling water (Chateldon), bottled, strongly mineralized",3.01,0.26707462
155,drinks,water,"Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974)","Mineral sparkling water (Cilaos), bottled, strongly mineralized",3.01,0.26707462
156,drinks,water,"Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique)","Mineral sparkling water (Didier), bottled, strongly mineralized",3.01,0.26707462
157,drinks,water,"Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63)","Mineral sparkling water (Hydroxydase), bottled, strongly mineralized",3.01,0.26707462
158,drinks,water,"Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68)","Mineral sparkling water (Nessel), bottled, averagely mineralized",3.01,0.26707462
159,drinks,water,"Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64)","Mineral sparkling water (Ogeu), bottled, lightly mineralized",3.01,0.26707462
160,drinks,water,"Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B)","Mineral sparkling water (Orezza), bottled, averagely mineralized",3.01,0.26707462
161,drinks,water,"Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)","Mineral sparkling water (Parot), bottled, averagely mineralized",3.01,0.26707462
162,drinks,water,"Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30)","Mineral sparkling water (Perrier), bottled, lightly mineralized",3.01,0.26707462
163,drinks,water,"Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)","Mineral sparkling water (Puits St Georges), bottled, averagely mineralized",3.01,0.26707462
164,drinks,water,"Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48)","Mineral sparkling water (Quézac), bottled, averagely mineralized",3.01,0.26707462
165,drinks,water,"Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07)","Mineral sparkling water (Reine des basaltes), bottled, averagely mineralized",3.01,0.26707462
166,drinks,water,"Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63)","Mineral sparkling water (Rozana), bottled, strongly mineralized",3.01,0.26707462
167,drinks,water,"Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34)","Mineral sparkling water (Salvetat), bottled, averagely mineralized",3.01,0.26707462
168,drinks,water,"Eau minérale San Pellegrino, embouteillée, gazeuse, moyennement minéralisée (Italie)","Mineral sparkling water (San Pellegrino), bottled, averagely mineralized",3.01,0.26707462
169,drinks,water,"Eau minérale St-Alban, embouteillée, gazeuse, moyennement minéralisée (St-Alban, 42)","Mineral sparkling water (St-Alban), bottled, averagely mineralized",3.01,0.26707462
170,drinks,water,"Eau minérale St-Diéry, embouteillée, gazeuse, fortement minéralisée (St-Diéry, 63)","Mineral sparkling water (St-Diéry), bottled, strongly mineralized",3.01,0.26707462
171,drinks,water,"Eau minérale Ste-Marguerite, embouteillée, gazeuse, moyennement minéralisée (St-Maurice, 63)","Mineral sparkling water (Ste-Marguerite), bottled, averagely mineralized",3.01,0.26707462
172,drinks,water,"Eau minérale St-Géron, embouteillée, gazeuse, moyennement minéralisée (St-Géron, 43)","Mineral sparkling water (St-Géron), bottled, averagely mineralized",3.01,0.26707462
173,drinks,water,"Eau minérale St-Michel-de-Mourcairol, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)","Mineral sparkling water (St-Michel-de-Mourcairol), bottled, averagely mineralized",3.01,0.26707462
174,drinks,water,"Eau minérale St-Yorre, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)","Mineral sparkling water (St-Yorre), bottled, strongly mineralized",3.01,0.26707462
175,drinks,water,"Eau minérale Vals, embouteillée, gazeuse, moyennement minéralisée (Vals-les-Bains, 07)","Mineral sparkling water (Vals), bottled, averagely mineralized",3.01,0.26707462
176,drinks,water,"Eau minérale Ventadour, embouteillée, gazeuse, faiblement minéralisée (Le Pestrin, 07)","Mineral sparkling water (Ventadour), bottled, lightly mineralized",3.01,0.26707462
177,drinks,water,"Eau minérale Vernet, embouteillée, gazeuse, faiblement minéralisée (Prades, 07)","Mineral sparkling water (Vernet), bottled, lightly mineralized",3.01,0.26707462
178,drinks,water,"Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)","Mineral sparkling water (Vernière), bottled, averagely mineralized",3.01,0.26707462
179,drinks,water,"Eau minérale Vichy Célestins, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)","Mineral sparkling water (Vichy Célestins), bottled, strongly mineralized",3.01,0.26707462
180,drinks,water,"Eau minérale Volvic active, embouteillée, gazeuse, faiblement minéralisée (Volvic, 63)","Mineral sparkling water (Volvic active), bottled, lightly mineralized",3.01,0.26707462
181,drinks,water,"Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)","Mineral still water (Abatilles), bottled, lightly mineralized",2.97,0.26707462
182,drinks,water,"Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73)","Mineral still water (Aix-les-Bains), bottled, lightly mineralized",2.97,0.26707462
183,drinks,water,"Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59)","Mineral still water (Amanda), bottled, strongly mineralized",2.97,0.26707462
184,drinks,water,"Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne)","Mineral still water (Appollinaris), bottled, strongly mineralized",2.97,0.26707462
185,drinks,water,"Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce)","Mineral still water (Avra), bottled, lightly mineralized",2.97,0.26707462
186,drinks,water,"Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg)","Mineral still water (Beckerich), bottled, lightly mineralized",2.97,0.26707462
187,drinks,water,"Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40)","Mineral still water (Biovive), bottled, lightly mineralized",2.97,0.26707462
188,drinks,water,"Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67)","Mineral still water (Celtic), bottled, very lightly mineralized",2.97,0.26707462
189,drinks,water,"Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45)","Mineral still water (Chambon), bottled, lightly mineralized",2.97,0.26707462
190,drinks,water,"Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)","Mineral still water (Chantemerle), bottled, lightly mineralized",2.97,0.26707462
191,drinks,water,"Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique)","Mineral still water (Chaudfontaine), bottled, lightly mineralized",2.97,0.26707462
192,drinks,water,"Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne)","Mineral still water (Christinen Brunnen), bottled, averagely mineralized",2.97,0.26707462
193,drinks,water,"Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)","Mineral still water (Clos de l'Abbaye), bottled, averagely mineralized",2.97,0.26707462
194,drinks,water,"Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88)","Mineral still water (Contrex), bottled, strongly mineralized",2.97,0.26707462
195,drinks,water,"Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie)","Mineral still water (Courmayer), bottled, strongly mineralized",2.97,0.26707462
196,drinks,water,"Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)","Mineral still water (Dax), bottled, averagely mineralized",2.97,0.26707462
197,drinks,water,"Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique)","Mineral still water (Didier), bottled, strongly mineralized",2.97,0.26707462
